id,balance,user_id
261,621.06,218
262,61.74,218
263,102695.12,29
264,-694.4,318
265,-46.86,213
266,13.81,61
267,25.84,61
268,-109.9,210
269,16113.65,239
270,-8157.26,67
271,3.81,296
272,77.31,296
273,107.37,158
274,17.76,337
275,112.91,265
276,1994.19,226
277,1082.84,8
278,38111.35,33
279,21633.05,33
280,2181.99,45
281,-522.02,181
282,-338.21,285
283,11578.2,317
284,1.78,175
285,1.56,175
286,0.22,127
287,498.0,79
288,1523.34,4
289,1984.67,4
290,55.71,206
291,713.62,183
292,0.08,279
293,55.41,145
294,-2.57,76
295,1205.66,122
296,695.31,203
297,1.07,221
298,-387.42,238
299,3.58,238
300,794.63,80
301,1058.75,276
302,361.29,276
303,-594.67,327
304,1154.17,103
305,2514.3,1
306,1336.54,1
307,237.72,262
308,13.44,194
309,91.91,257
310,-131.3,167
311,-10.93,167
312,-21.25,167
313,1781.82,167
314,11085.59,21
315,328.17,274
316,2525.16,274
317,1.07,233
318,750.81,149
319,1339.48,252
320,100.0,252
321,-2817.33,133
322,939.04,57
323,51.8,134
324,9.27,236
325,-69.54,242
326,-6.0,162
327,0.43,336
328,-5.0,271
329,3.15,196
330,-733.23,325
331,-5025.56,325
332,2318.6,23
333,0.19,135
334,181.49,310
335,0.9,165
336,538.13,68
337,18.95,86
338,936.55,22
339,0.48,182
340,1056.34,124
341,-967.94,306
342,40.6,335
343,2583.83,254
344,3.3,219
345,483.9,96
346,6880.9,247
347,0.18,108
348,4.0,108
349,10.12,130
350,2190.6,147
351,3478.62,147
352,418.26,323
353,0.37,83
354,198.49,84
355,9838.45,84
356,-146.59,137
357,0.23,237
358,-463.15,342
359,-2633.41,315
360,-5405.07,315
361,15654.1,190
362,1239.79,190
363,-343.06,282
364,656.64,91
365,154.35,59
366,-1847.83,92
367,-9.1,12
368,25.43,180
369,1.68,16
370,3.58,248
371,363.68,176
372,1870.4,286
373,-53.6,160
374,-777.25,160
375,38449.86,283
376,-2988.03,159
377,0.16,42
378,1359.48,140
379,220.3,106
380,233.04,141
381,2789.54,47
382,0.03,319
383,48.2,202
384,-206.13,311
385,548.13,304
386,-22.59,138
387,228.71,302
388,80.86,161
389,233.04,142
390,2880.81,60
391,1491.71,193
392,106.44,193
393,1.14,193
394,2735.96,230
395,220.9,230
396,13.29,230
397,139.3,230
398,227.06,212
399,154251.97,20
400,-187.76,173
401,-54.26,299
402,-1431.22,185
403,-585.16,185
404,6058.27,73
405,2752.62,78
406,3.71,123
407,31.26,329
408,-15.06,187
409,0.1,144
410,2.88,227
411,-962.12,90
412,34.41,90
413,-1954.65,90
414,16181.12,49
415,0.68,49
416,-1451.72,253
417,5.95,253
418,1.4,297
419,-184.03,297
420,55.41,95
421,-2707.49,245
422,9761.31,3
423,-357.04,205
424,230.5,156
425,5.14,156
426,1.15,156
427,234.87,156
428,1274.4,13
429,5297.69,13
430,1.56,34
431,1357.07,62
432,0.06,191
433,2452.6,246
434,9.91,24
435,192.69,326
436,-16.9,326
437,-1686.06,50
438,-343.06,284
439,146.71,77
440,2909.55,77
