id,update_date,business_NAF_code
221,2020-09-27,4791A
222,2020-09-27,4619B
223,2020-09-27,4932Z
224,2020-09-27,9003A
225,2020-09-27,4511Z
226,2020-09-27,5621Z
227,2020-09-27,9329Z
228,2020-09-27,6202A
229,2020-09-27,7022Z
230,2020-09-27,7990Z
231,2020-09-27,4321A
232,2020-09-27,5920Z
233,2020-09-27,4791A
234,2020-09-27,4791B
235,2020-09-27,6622Z
236,2020-09-27,5320Z
237,2020-09-27,4932Z
238,2020-09-27,7311Z
239,2020-09-26,5320Z
240,2020-09-27,4932Z
241,2020-09-27,4932Z
242,2020-09-27,5813Z
243,2020-09-27,7022Z
244,2020-09-27,4321A
245,2020-09-27,4941A
246,2020-09-27,6201Z
247,2020-09-27,3109B
248,2020-09-27,7311Z
249,2020-09-27,6820A
250,2020-09-27,4321A
251,2020-09-26,7022Z
252,2020-09-27,8559B
253,2020-09-27,9609Z
254,2020-09-27,5320Z
255,2020-09-27,6202A
256,2020-09-26,4789Z
257,2020-09-27,6622Z
258,2020-09-27,6622Z
259,2020-09-27,9329Z
260,2020-09-27,7022Z
261,2020-09-27,4391A
262,2020-09-27,6820A
263,2020-09-27,0145Z
264,2020-09-27,0161Z
265,2020-09-27,5320Z
266,2020-09-27,9003A
267,2020-09-26,4791A
268,2020-09-27,5320Z
269,2020-09-27,7022Z
270,2020-09-27,6190Z
271,2020-09-27,5320Z
272,2020-09-27,9602A
273,2020-09-27,9609Z
274,2020-09-27,9602B
275,2020-09-27,6831Z
276,2020-09-27,4791A
277,2020-09-27,4399C
278,2020-09-27,4932Z
279,2020-09-27,7022Z
280,2020-09-27,7022Z
281,2020-09-27,6420Z
282,2020-09-27,5320Z
283,2020-09-27,7022Z
284,2020-09-27,5320Z
285,2020-09-27,5320Z
286,2020-09-27,5829C
287,2020-09-27,8559B
288,2020-09-27,6831Z
289,2020-09-27,4331Z
290,2020-09-27,4942Z
291,2020-09-27,6820A
292,2020-09-27,7022Z
293,2020-09-27,4791A
294,2020-09-27,0143Z
295,2020-09-27,4941A
296,2020-09-27,4782Z
297,2020-09-27,1073Z
298,2020-09-27,7022Z
299,2020-09-27,7022Z
300,2020-09-27,4932Z
301,2020-09-27,4781Z
302,2020-09-27,8551Z
303,2020-09-27,4941A
304,2020-09-27,8553Z
305,2020-09-27,6820A
306,2020-09-27,4741Z
307,2020-09-27,9609Z
308,2020-09-27,8551Z
309,2020-09-27,7420Z
310,2020-09-27,5320Z
311,2020-09-27,8122Z
312,2020-09-26,4932Z
313,2020-09-27,7410Z
314,2020-09-27,7420Z
315,2020-09-27,6202A
316,2020-09-27,5320Z
317,2020-09-27,9329Z
318,2020-09-26,4932Z
319,2020-09-27,6202A
320,2020-09-27,7021Z
321,2020-09-27,7490B
322,2020-09-27,4725Z
323,2020-09-27,7021Z
324,2020-09-27,5621Z
325,2020-09-27,7311Z
326,2020-09-27,5621Z
327,2020-09-27,9329Z
328,2020-09-27,7021Z
329,2020-09-26,5320Z
330,2020-09-27,6202A
331,2020-09-26,4399C
332,2020-09-26,8219Z
333,2020-09-26,4791A
334,2020-09-26,4791A
335,2020-09-26,4941A
336,2020-09-26,4791B
337,2020-09-26,4791A
338,2020-09-26,4719B
339,2020-09-26,4331Z
340,2020-09-27,5320Z
341,2020-09-27,2562B
342,2020-09-27,4520A
